id,label,group,pillars,title
recgRZ2lbEFa1Nt5Q,Health,Dimension,,<b>Health</b><br>Group: Dimension
reclzLFPAfRZdvrCx,Performance,Dimension,,<b>Performance</b><br>Group: Dimension
rec3oKZF20mdrOsZP,Nutrition,Domain,,<b>Nutrition</b><br>Group: Domain
rec4W6rDCELaCgtvA,Women's Health,Domain,"recFFzH0W2XntomG9, recGt92bs5UItAxBs, reco0FmFUZdGz5HwO, recNcR7LqXWImPQNY, recTLGnCoITqQXunf, recKLqkL67MJcSNs6","<b>Women's Health</b><br>Group: Domain<br>Pillars: recFFzH0W2XntomG9, recGt92bs5UItAxBs, reco0FmFUZdGz5HwO, recNcR7LqXWImPQNY, recTLGnCoITqQXunf, recKLqkL67MJcSNs6"
rec4yRZnSgprEouqL,Bone Health,Domain,,<b>Bone Health</b><br>Group: Domain
rec77GAfL5R9cvqDc,Physical Health,Domain,,<b>Physical Health</b><br>Group: Domain
rec9zzXnWWoI6ebyg,Cognitive,Domain,reco0FmFUZdGz5HwO,<b>Cognitive</b><br>Group: Domain<br>Pillars: reco0FmFUZdGz5HwO
recECC9TSlbV9Unx9,Technical,Domain,,<b>Technical</b><br>Group: Domain
recEfcTC2KqD8Bomr,Cardiovascular Health,Domain,recGt92bs5UItAxBs,<b>Cardiovascular Health</b><br>Group: Domain<br>Pillars: recGt92bs5UItAxBs
recJGnUxrJcSfntJV,Physical Performance,Domain,,<b>Physical Performance</b><br>Group: Domain
recK2Jmq7WTDwG913,Cancer Prevention,Domain,,<b>Cancer Prevention</b><br>Group: Domain
recNi1Bl2SlP1kmLf,Physical Activity,Domain,,<b>Physical Activity</b><br>Group: Domain
recT1YUmi1GfdcarT,Injury,Domain,,<b>Injury</b><br>Group: Domain
recgvFOldMa7sYmIT,Lifestyle Health,Domain,,<b>Lifestyle Health</b><br>Group: Domain
recmvqm0tDNB3iTAp,Recovery,Domain,,<b>Recovery</b><br>Group: Domain
recnXenpw9d6lyHfG,Metabolic Health,Domain,,<b>Metabolic Health</b><br>Group: Domain
recpLznsiMPG89JZS,Tactical,Domain,,<b>Tactical</b><br>Group: Domain
recqk3l2BcIHBsO1H,Longevity & Mortality Risk,Domain,,<b>Longevity & Mortality Risk</b><br>Group: Domain
recsZVImQSfgtSAVC,Early Cancer Detection,Domain,,<b>Early Cancer Detection</b><br>Group: Domain
rect453WGj44XmTPs,Psychological wellbeing,Domain,reco0FmFUZdGz5HwO,<b>Psychological wellbeing</b><br>Group: Domain<br>Pillars: reco0FmFUZdGz5HwO
rec1MZnQeNr2w90Yy,Pelvic Floor Health,Construct,,<b>Pelvic Floor Health</b><br>Group: Construct
rec3VnS3m9SPPVWbi,Menstrual & Gynaecological Health,Construct,,<b>Menstrual & Gynaecological Health</b><br>Group: Construct
rec897957Gvk1TOUj,Movement Asymmetry,Construct,,<b>Movement Asymmetry</b><br>Group: Construct
recATXSzRkYo0KeAK,Adaptability,Construct,,<b>Adaptability</b><br>Group: Construct
recCyRMEehCEMFrMk,Sleep,Construct,recNcR7LqXWImPQNY,<b>Sleep</b><br>Group: Construct<br>Pillars: recNcR7LqXWImPQNY
recDEGz4XrTPAz7fo,Movement Efficiency,Construct,recGt92bs5UItAxBs,<b>Movement Efficiency</b><br>Group: Construct<br>Pillars: recGt92bs5UItAxBs
